球隊名稱,名稱,位置,得分,進攻籃板,防守籃板,籃板,助攻,抄截,火鍋,投籃進球數,投籃命中率,三分進球數,三分命中率,罰球進球數,罰球命中率,犯規,失誤,正負值,上場時間
MIN,Anthony Edwards,SG,44,2,4,6,3,2,2,18,51%,3,42%,5,62%,1,0,2,38
BOS,Jaylen Brown,SF,41,6,8,14,4,2,0,16,55%,2,28%,7,50%,4,2,5,41
PHX,Kevin Durant,PF,35,0,3,3,1,1,0,11,57%,2,40%,11,91%,1,4,8,35
DAL,Luka Doncic,PG,35,0,11,11,11,1,0,12,50%,7,53%,4,100%,2,4,11,40
DET,Jaden Ivey,PG,34,2,1,3,2,2,0,10,58%,6,66%,8,100%,4,4,9,39
CHI,Nikola Vucevic,C,33,2,9,11,5,0,0,14,60%,3,50%,2,100%,2,4,-7,35
CHI,DeMar DeRozan,SF,33,0,8,8,4,0,1,10,58%,3,50%,10,90%,2,1,4,39
SAC,De'Aaron Fox,PG,33,2,3,5,5,3,0,14,43%,1,14%,4,100%,6,1,0,35
DET,Cade Cunningham,SG,32,1,4,5,11,0,1,10,45%,4,50%,8,88%,0,5,19,38
DEN,Nikola Jokic,C,32,4,8,12,11,2,0,11,57%,0,0%,10,100%,1,0,9,39
