球隊名稱,戰績,最近10場,近期狀態
Boston Celtics,52-14 (.788),8-2  ,W4
Milwaukee Bucks,43-24 (.642),7-3  ,W1
Cleveland Cavaliers,42-24 (.636),5-5  ,W1
New York Knicks,39-27 (.591),5-5  ,W2
Orlando Magic,38-28 (.576),7-3  ,W1
Indiana Pacers,37-30 (.552),5-5  ,L1
Philadelphia 76ers,36-30 (.545),3-7  ,L2
Miami Heat,35-30 (.538),5-5  ,L4
Chicago Bulls,32-35 (.478),5-5  ,L1
Atlanta Hawks,29-36 (.446),5-5  ,L2
Brooklyn Nets,26-40 (.394),5-5  ,L1
Toronto Raptors,23-43 (.348),3-7  ,L5
Charlotte Hornets,17-49 (.258),3-7  ,W1
Detroit Pistons,12-53 (.185),4-6  ,W2
Washington Wizards,11-55 (.167),2-8  ,L2
